"id","name","created_at","updated_at"
1,"programa-de-lenguaje-y-comunicacion",2023-09-22 04:17:12,2023-09-22 04:17:12
2,"ingenieria",2023-09-22 04:17:12,2023-09-22 04:17:12
3,"programa-de-etica",2023-09-22 04:17:12,2023-09-22 04:17:12
4,"informatica-y-telecomunicaciones",2023-09-22 04:17:13,2023-09-22 04:17:13
5,"salud",2023-09-22 04:17:13,2023-09-22 04:17:13
6,"programa-de-ingles",2023-09-22 04:17:14,2023-09-22 04:17:14
7,"administracion-y-negocios",2023-09-22 04:17:17,2023-09-22 04:17:17
8,"programa-de-emprendimiento",2023-09-22 04:17:17,2023-09-22 04:17:17
9,"programa-de-matematicas",2023-09-22 04:17:21,2023-09-22 04:17:21
10,"programa-de-deportes",2023-09-22 04:17:23,2023-09-22 04:17:23
11,"programa-de-formacion-cristiana",2023-09-22 04:17:24,2023-09-22 04:17:24
12,"programa-de-cultura",2023-09-22 04:18:18,2023-09-22 04:18:18
13,"recursos-naturales",2023-09-22 04:18:51,2023-09-22 04:18:51
14,"construccion",2023-09-22 04:18:53,2023-09-22 04:18:53
15,"turismo",2023-09-22 04:19:00,2023-09-22 04:19:00
